Atualizado em: 2023-06-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EMPRESA_SIGLA;EMPRESA_NOME;EMPRESA_NACIONALIDADE;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_ORIGEM_PAIS;AEROPORTO_DE_ORIGEM_CONTINENTE;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;AEROPORTO_DE_DESTINO_PAIS;AEROPORTO_DE_DESTINO_CONTINENTE;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;PASSAGEIROS_GRATIS;CARGA_PAGA_KG;CARGA_GRATIS_KG;CORREIO_KG;ASK;RPK;ATK;RTK;DISTANCIA_VOADA_KM;DECOLAGENS;CARGA_PAGA_KM;CARGA_GRATIS_KM;CORREIO_KM;ASSENTOS;PAYLOAD;HORAS_VOADAS;BAGAGEM_KG
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;684;21;74613;24;321;;;;;;;;;;;;;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;31;14;0;140;0;2138700;258830;273672;50406;10136;28;27009900;59368;116202;5908;756000;653,94;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2256;148;137928;0;29039;45662900;17436600;4575570;2859770;216412;28;1066050000;0;224442000;5908;592000;408,73;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3306;195;213013;0;5658;38266800;26646300;6347560;4345660;181359;27;1909500000;161208;38004800;5697;945000;429,66;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;0;18;0;324;0;2138700;283808;273672;58165;10136;28;31466800;357656;1172880;5908;756000;652,66;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3677;144;271272;0;21;45226600;30313200;7502040;4964720;214344;26;2236370000;0;173124;5486;910000;393,84;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2531;114;241908;0;9427;42044700;19397600;6974240;3672000;206928;27;1853980000;0;72248500;5486;910000;393,22;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6911;550;639182;0;5086;110969000;54360400;18407200;9828880;525920;80;4885280000;0;51198300;16880;2800000;1259,32;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SGAS;ASUNCIÓN;;;PARAGUAI;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1593;106;33870;0;72;6717400;2611690;859572;338337;31836;28;93705800;329730;9592870;5908;756000;650,77;
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2000;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SUMU;MONTEVIDEO, MONTEVIDEO;;;URUGUAI;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1228;136;78463;0;1552;8944290;3741310;1106380;552065;42390;27;189479000;0;25884600;5697;704700;614,33;
